"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1,Q2,Q3,Q4";"TO-247AD-V_400";4;"IRFP250";;;
2;"U1";"ANALOG_DEVICES_AD8630ARZ-REEL7_0";1;"ANALOG_DEVICES_AD8630ARZ-REEL7ANALOG_DEVICES_AD8630ARZ-REEL7_0_0";;;
3;"R1,R6,R11,R16,R31";"R0805_334";5;"1k";;;
4;"R2,R7,R12,R17,R30,R34,R41,R42,R43,R44";"R0603_334";10;"1k";;;
5;"C1,C5,C2,C3,C4";"C0603_334";5;"1n";;;
6;"U2";"SOT95P270X145-6N";1;"MCP4725A0T-E/CH";;;
7;"R21,R3,R8,R13,R18,R24,R26,R35,R36,R29";"R0603_334";10;"10k";;;
8;"R22";"R0603_334";1;"560R";;;
9;"U3";"MSOP10";1;"ADS1115";;;
10;"U4";"QFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
11;"C6,C7,C13,C16,C21,C22,C25";"C0603_334";7;"100n";;;
12;"J1";"AMASS_XT60-M";1;"XT60-M";;;
13;"R4,R5,R9,R10,R14,R15,R19,R20";"R4527_334";8;"0R2";;;
14;"R23,R25";"R0603_334";2;"1M";;;
15;"C11,C12";"E7,5-16_334";2;"4700u";;;
16;"R27,R28";"R0603_334";2;"4k7";;;
17;"U5";"SOIC-08_150MIL";1;"OPA277";;;
18;"U6";"SOIC127P600X175-8N";1;"MCP79410-I/SN";;;
19;"Q5";"TC26H_204";1;"32768Hz";;;
20;"C14,C15";"C0603_334";2;"6-9p";;;
21;"U7";"SOIC8";1;"ICL7660CPAZSOIC";;;
22;"C17,C18,C8";"CT3528_334";3;"10u";;;
23;"C19";"C0603_334";1;"omit";;;
24;"SPI0";"MA03-2_162";1;"";;;
25;"J4,J2,J5,J6,J7";"JST_B2B-XH-A(LF)(SN)";5;"B2B-XH";;;
26;"Q6";"SOT23";1;"IRLML6244";;;
27;"D5";"DO-214AC";1;"BYG22B";;;
28;"J3,JP2";"JST_B4B-XH-A(LF)(SN)";2;"B4B-XH";;;
29;"C23";"C0603K_334";1;"100n";;;
30;"D1,D2,D3,D4";"DO41-7.6_210";4;"1N5819-B";;;
31;"Q7";"TO220V";1;"BD911";;;
32;"VR1";"TO92-CLP";1;"TL431";;;
33;"R32";"R0603_334";1;"68k";;;
34;"R33";"R0603_334";1;"18k";;;
35;"IC7";"SOT223";1;"LM1117-5.0";;;
36;"C26,C27";"B_3528-21W_334";2;"10u";;;
37;"U$1";"TO220_HEATSINK";1;"TO220_HEATSINK";;;
38;"U8";"SOT254P975X400-4N";1;"PC817X2NIP0F";;;
39;"Q8,Q9,Q10,Q11";"SOT23";4;"S9015";;;
40;"R37,R38,R39,R40";"R0603_334";4;"100k";;;
41;"D7";"DIOMELF3515N";1;"LL4148";;;
42;"C28,C29";"C0603_334";2;"22p";;;
43;"U$3";"SOIC8";1;"LM4140";;;
44;"C9";"CT3216_334";1;"1u";;;
45;"J8";"JST_B5B-XH-A(LF)(SN)";1;"B5B-XH";;;
46;"JP1";"1X09_325";1;"";;;
47;"U$2";"CRYSTAL_3,4X2,7";1;"16MHz";;;
48;"C10";"C0603_334";1;"1u";;;
