Ref,Val,Package,PosX,PosY,Rot,Side
"C10","1u","C_0603_1608Metric",-32.246100,20.181400,90.000000,bottom
"C23","100n","C_0603_1608Metric",-60.821100,31.611400,0.000000,bottom
"C28","22p","C_0603_1608Metric",-102.223100,13.323400,180.000000,bottom
"C29","22p","C_0603_1608Metric",-102.223100,7.100400,0.000000,bottom
"D5","BYG22B","D_SMA",-22.721100,29.706400,-90.000000,bottom
"Q8","S9015","SOT-23-3",-54.471100,34.405400,180.000000,bottom
"Q9","S9015","SOT-23-3",-54.471100,30.341400,180.000000,bottom
"Q10","S9015","SOT-23-3",-68.441100,28.817400,0.000000,bottom
"Q11","S9015","SOT-23-3",-67.679100,36.945400,0.000000,bottom
"R29","10k","R_0603_1608Metric",-109.462100,15.736400,180.000000,bottom
"R31","1k","R_0805_2012Metric",-30.341100,15.736400,0.000000,bottom
"R35","10k","R_0603_1608Metric",-112.891100,15.736400,90.000000,bottom
"R37","100k","R_0603_1608Metric",-58.281100,34.786400,180.000000,bottom
"R38","100k","R_0603_1608Metric",-58.281100,36.818400,180.000000,bottom
"R39","100k","R_0603_1608Metric",-67.679100,31.865400,0.000000,bottom
"R40","100k","R_0603_1608Metric",-67.679100,33.897400,0.000000,bottom
"U$2","16MHz","Oscillator_SMD_ECS_3225MV_3.2x2.5x1.2mm",-102.261100,10.171400,0.000000,bottom
"C1","1n","C_0603_1608Metric",54.471100,36.183400,180.000000,top
"C2","1n","C_0603_1608Metric",54.471100,27.039400,180.000000,top
"C3","1n","C_0603_1608Metric",67.171100,27.039400,0.000000,top
"C4","1n","C_0603_1608Metric",67.171100,36.183400,0.000000,top
"C5","1n","C_0603_1608Metric",73.140100,34.151400,90.000000,top
"C6","100n","C_0603_1608Metric",109.335100,11.926400,90.000000,top
"C7","100n","C_0603_1608Metric",66.663100,22.848400,180.000000,top
"C8","10u","C_Pol_EIA-B-kemet-t520b107m010ate070",90.666100,34.151400,90.000000,top
"C9","1u","C_Pol_EIA-A",86.983100,37.072400,-90.000000,top
"C11","4700u","E7,5-16_334",10.021100,13.196400,180.000000,top
"C12","4700u","E7,5-16_334",10.021100,29.706400,180.000000,top
"C13","100n","C_0603_1608Metric",77.585100,33.135400,90.000000,top
"C14","6-9p","C_0603_1608Metric",103.366100,42.914400,180.000000,top
"C15","6-9p","C_0603_1608Metric",103.366100,40.882400,180.000000,top
"C16","100n","C_0603_1608Metric",109.716100,34.786400,90.000000,top
"C17","10u","C_Pol_EIA-B-kemet-t520b107m010ate070",86.729100,13.958400,0.000000,top
"C18","10u","C_Pol_EIA-B-kemet-t520b107m010ate070",90.793100,20.054400,90.000000,top
"C19","omit","C_0603_1608Metric",84.824100,25.134400,0.000000,top
"C21","100n","C_0603_1608Metric",79.617100,19.419400,0.000000,top
"C22","100n","C_0603_1608Metric",78.982100,21.959400,90.000000,top
"C25","100n","C_0603_1608Metric",82.538100,20.308400,-90.000000,top
"C26","10u","C_Pol_EIA-B-kemet-t520b107m010ate070",48.121100,19.546400,180.000000,top
"C27","10u","C_Pol_EIA-B-kemet-t520b107m010ate070",48.121100,16.371400,180.000000,top
"D1","1N5819-B","DO41-7.6_210",13.831100,43.041400,90.000000,top
"D2","1N5819-B","DO41-7.6_210",10.021100,43.041400,90.000000,top
"D3","1N5819-B","DO41-7.6_210",6.211100,43.041400,-90.000000,top
"D4","1N5819-B","DO41-7.6_210",2.401100,43.041400,-90.000000,top
"D7","LL4148","DIOMELF3515N",76.061100,6.846400,-90.000000,top
"IC7","LM1117-5.0","SOT-223",46.851100,10.021400,180.000000,top
"J1","XT60-M","AMASS_XT60-M",4.941100,68.441400,90.000000,top
"J2","B2B-XH","Conn_JST_XH_1x2_B2B-XH-A-LF-SN-",26.531100,29.706400,90.000000,top
"J3","B4B-XH","JST_B4B-XH-A(LF)(SN)",104.001100,23.991400,0.000000,top
"J4","B2B-XH","Conn_JST_XH_1x2_B2B-XH-A-LF-SN-",67.806100,14.212400,90.000000,top
"J5","B2B-XH","Conn_JST_XH_1x2_B2B-XH-A-LF-SN-",6.846100,53.201400,90.000000,top
"J6","B2B-XH","Conn_JST_XH_1x2_B2B-XH-A-LF-SN-",115.304100,18.276400,90.000000,top
"J7","B2B-XH","Conn_JST_XH_1x2_B2B-XH-A-LF-SN-",67.806100,6.211400,90.000000,top
"J8","B5B-XH","JST_B5B-XH-A(LF)(SN)",114.796100,30.341400,90.000000,top
"JP1","","PinHeader_1x8_P2.54mm_Drill1.1mm",111.1131,2.655400,180.000000,top
"JP2","B4B-XH","JST_B4B-XH-A(LF)(SN)",114.796100,44.946400,90.000000,top
"Q1","IRFP250","TO-247AD-V_400",15.101100,87.491400,0.000000,top
"Q2","IRFP250","TO-247AD-V_400",45.581100,87.491400,0.000000,top
"Q3","IRFP250","TO-247AD-V_400",76.061100,87.491400,0.000000,top
"Q4","IRFP250","TO-247AD-V_400",106.541100,87.491400,0.000000,top
"Q5","32768Hz","Resonator_SMD_Citizen_CMJ206_8.3x2.5x2.2mm",107.176100,45.217400,180.000000,top
"Q6","IRLML6244","SOT-23-3",31.611100,29.706400,-90.000000,top
"Q7","BD911","TO220V",29.071100,10.021400,180.000000,top
"R1","1k","R_0805_2012Metric",11.164100,78.474400,90.000000,top
"R2","1k","R_0603_1608Metric",54.471100,34.151400,180.000000,top
"R3","10k","R_0603_1608Metric",51.423100,34.151400,0.000000,top
"R4","0R2","R4527_334",25.261100,62.091400,90.000000,top
"R5","0R2","R4527_334",35.421100,62.091400,90.000000,top
"R6","1k","R_0805_2012Metric",40.120100,78.347400,90.000000,top
"R7","1k","R_0603_1608Metric",54.471100,29.071400,180.000000,top
"R8","10k","R_0603_1608Metric",51.423100,29.071400,0.000000,top
"R9","0R2","R4527_334",45.581100,62.091400,90.000000,top
"R10","0R2","R4527_334",55.741100,62.091400,90.000000,top
"R11","1k","R_0805_2012Metric",70.600100,78.347400,90.000000,top
"R12","1k","R_0603_1608Metric",67.171100,29.071400,0.000000,top
"R13","10k","R_0603_1608Metric",70.219100,29.071400,180.000000,top
"R14","0R2","R4527_334",65.901100,62.091400,90.000000,top
"R15","0R2","R4527_334",76.061100,62.091400,90.000000,top
"R16","1k","R_0805_2012Metric",101.080100,78.347400,90.000000,top
"R17","1k","R_0603_1608Metric",67.171100,34.151400,0.000000,top
"R18","10k","R_0603_1608Metric",70.219100,34.151400,180.000000,top
"R19","0R2","R4527_334",86.221100,62.091400,90.000000,top
"R20","0R2","R4527_334",96.381100,62.091400,90.000000,top
"R21","10k","R_0603_1608Metric",77.712100,35.675400,0.000000,top
"R22","560R","R_0603_1608Metric",75.172100,34.151400,90.000000,top
"R23","1M","R_0603_1608Metric",74.4101,15.482400,90.000000,top
"R24","10k","R_0603_1608Metric",71.870100,18.276400,90.000000,top
"R25","1M","R_0603_1608Metric",76.442100,15.482400,90.000000,top
"R26","10k","R_0603_1608Metric",79.617100,17.387400,180.000000,top
"R27","4k7","R_0603_1608Metric",85.332100,30.595400,180.000000,top
"R28","4k7","R_0603_1608Metric",85.332100,28.563400,180.000000,top
"R30","1k","R_0603_1608Metric",34.786100,29.706400,90.000000,top
"R32","68k","R_0603_1608Metric",25.261100,17.006400,90.000000,top
"R33","18k","R_0603_1608Metric",25.261100,20.181400,90.000000,top
"R34","1k","R_0603_1608Metric",72.251100,6.846400,-90.000000,top
"R36","10k","R_0603_1608Metric",90.666100,6.846400,-90.000000,top
"R41","1k","R_0603_1608Metric",62.599100,22.721400,90.000000,top
"R42","1k","R_0603_1608Metric",60.567100,22.721400,90.000000,top
"R43","1k","R_0603_1608Metric",58.535100,22.721400,90.000000,top
"R44","1k","R_0603_1608Metric",56.503100,22.721400,90.000000,top
"SPI","","PinHeader_2x3_P2.54mm_Drill1.1mm",112.7641,11.6724,0.000000,top
"U$1","TO220_HEATSINK","TO220_HEATSINK",29.071100,6.973400,0.000000,top
"U$3","LM4140","SOIC-8_3.9x4.9x1.75mm_P1.27mm",95.111100,35.675400,90.000000,top
"U1","ANALOG_DEVICES_AD8630ARZ-REEL7ANALOG_DEVICES_AD8630ARZ-REEL7_0_0","SOIC-14_W3.9mm",60.821100,31.611400,-90.000000,top
"U2","MCP4725A0T-E/CH","SOT-23-6",81.522100,34.659400,90.000000,top
"U3","ADS1115","VSSOP-10_3x3mm_P0.5mm",66.663100,20.308400,0.000000,top
"U4","ATMEGA328P-AU","TQFP-32_7x7mm",102.731100,11.926400,0.000000,top
"U5","OPA277","SOIC-8_3.9x4.9x1.75mm_P1.27mm",75.426100,21.451400,90.000000,top
"U6","MCP79410-I/SN","SOIC-8_3.9x4.9x1.75mm_P1.27mm",105.906100,36.056400,90.000000,top
"U7","ICL7660CPAZSOIC","SOIC-8_3.9x4.9x1.75mm_P1.27mm",86.094100,20.054400,90.000000,top
"U8","PC817X2NIP0F","SOIC-4_6.5x4.6mm_P2.54mm",83.681100,6.846400,0.000000,top
"VR1","TL431","TO92-CLP",29.071100,18.911400,0.000000,top
